Price,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2024-02-19,72239.265625,72337.15080877372,71260.41378726288,71260.41378726288,12726404
2024-02-20,71749.84375,72141.38450716235,71260.41780354707,72141.38450716235,14681477
2024-02-21,71456.1796875,72141.37593107877,71358.29450984589,71847.72039811643,11503495
2024-02-22,71554.0703125,72337.15179334815,71162.52957207593,72239.26660824213,15208934
2024-02-23,71358.296875,72630.80422668038,71358.296875,72043.49314128944,16225166
2024-02-26,71260.40625,71651.94694368132,70673.09520947802,70770.98038289836,14669352
2024-02-27,71358.296875,71847.72277949245,71162.52651320302,71554.06723679698,13201981
2024-02-28,71651.953125,72337.14939805328,71260.41239754099,71358.29757940574,11795859
2024-02-29,71847.734375,71847.734375,70477.3416212534,71064.65280143052,21176403
2024-03-04,73316.0078125,73413.8930031709,72435.04109646195,72728.69666847463,23210474
2024-03-05,72141.375,73218.1119402985,72141.375,73022.34158751696,19505125
2024-03-06,71358.296875,71945.60796039095,71162.52651320302,71651.95241769547,21547905
2024-03-07,70673.1015625,71749.83856691483,70673.1015625,71554.06820247577,14516963
2024-03-08,71749.84375,71847.72893929058,71064.6474249659,71260.41780354707,19271349
2024-03-11,70868.875,71554.07130524862,70770.98981353591,71358.30093232045,9740504
2024-03-12,71749.84375,71945.61412858118,70575.22147851296,71064.6474249659,13011654
2024-03-13,72532.9296875,72532.9296875,71945.6185159413,72141.38890646087,15243134
2024-03-14,72728.6875,72924.45785666218,72043.49125168237,72826.57267833108,22545539
2024-03-15,70770.984375,72141.37688018673,70770.984375,71847.721343361,22580555
2024-03-18,71260.40625,71456.17659684067,70966.75072973901,71064.63590315935,11520348
2024-03-19,71260.40625,71456.17659684067,70183.66934237638,70770.98038289836,15376066
2024-03-20,75273.7109375,75567.36650682705,71847.7292953511,72141.38486467816,50106297
2024-03-21,77622.953125,77622.953125,76056.7901363493,77525.06793820932,44569799
2024-03-22,77231.4140625,78210.26595175856,76154.67698431559,77916.61038498099,26724761
2024-03-25,76546.21875,78112.38179347826,76154.67798913043,77916.61141304347,18703996
2024-03-26,78210.265625,78406.03600203378,77525.06930538172,78014.4952479662,30551494
2024-03-27,78112.3828125,78308.15319548872,77525.07166353383,77525.07166353383,17424595
